
Order number                            : 14185
Date signed                             : January 27, 2025
Signed by                               : President Donald Trump
Detailed Summary                        : This executive order abolishes diversity, equity, and inclusion (DEI) offices within the Department of Defense and the Department of Homeland Security. It prohibits the promotion of divisive concepts, gender ideology, and any teachings that America's founding documents are racist or sexist. The order mandates a review of DEI initiatives and requires defense institutions to teach about America's positive impact on history.
Agency Impacted                         : Department of Defense, Department of Homeland Security
Within Executive Powers                 : True
Exceeds Executive Powers                : 
Legal                                   : 
Pros                                    : 
Cons                                    : 
Keywords                                : {DEI, Diversity, Equity, Inclusion…}
Authority granted to                    : Secretary of Defense, Secretary of Homeland Security
Impacted entities                       : Department of Defense, Department of Homeland Security, US Coast Guard, United States Service Academies, defense academic institutions
Budgetary impact                        : 
Enforcement Mechanism                   : Internal reviews, reporting requirements
Implementation timeline                 : 30 days for initial guidance, 180 days for progress reports
Long-term Impact                        : 
Stakeholder Reactions                   : 
Historical Context                      : 
Implementation Challenges               : 
Public Perception                       : 
Legal Precedents                        : 
Executive Order Comparisons             : 
Executive Order Duration                : 
Scope of Applicability                  : Department of Defense, Department of Homeland Security
Interaction with Other Laws/Regulations : 
Delegated Powers                        : 
Revocation/Modification Process         : 
Political Context                       : Issued during a period of heightened political polarization surrounding issues of race, gender, and education.
Priority Areas Addressed                : Meritocracy, elimination of race and sex-based discrimination within the armed forces, protection of American values
Compliance Requirements                 : 
Court Involvement                       : 
Impact on International Relations       : 
Enabling Legislation                    : 
Review and Oversight Mechanism          : Reports to the Deputy Chief of Staff for Policy
Temporary vs. Permanent Measures        : 
Environmental Considerations            : 
Civil Liberties Considerations          : Potential concerns regarding freedom of speech and academic freedom.
Public Health Impact                    : 
Data and Reporting Requirements         : 
Security Implications                   : 
Partisan Support/Opposition             : 
Executive Action Precedent              : 
Economic Sector Impact                  : 
Labor/Workforce Impact                  : 
Technological Impact                    : 
Social Justice Considerations           : Addresses issues of racial and gender equality.
Transparency                            : 
Public Engagement or Consultation       : 

