
Order number                            : Executive Order 14207
Date signed                             : February 10, 2025
Signed by                               : Donald Trump
Detailed Summary                        : This executive order eliminates the Federal Executive Institute, a program providing leadership training to bureaucrats. It argues that the institute has contributed to an enlarged and entrenched Washington bureaucracy that does not benefit the American family. The order revokes previous documents establishing or requiring the existence of the institute.
Agency Impacted                         : Federal Executive Institute
Within Executive Powers                 : True
Exceeds Executive Powers                : False
Legal                                   : True
Pros                                    : {Eliminates a program seen as wasteful and contributing to bureaucracy, Redirects focus towards serving taxpayers}
Cons                                    : {Potential loss of leadership training for government employees, May be perceived as an attack on career civil servants}
Keywords                                : {Federal Executive Institute, bureaucracy, leadership training, taxpayer dollars…}
Authority granted to                    : Director of the Office of Personnel Management
Impacted entities                       : {Federal Executive Institute staff and participants, Office of Personnel Management}
Budgetary impact                        : Reduction in funding for the Federal Executive Institute
Enforcement Mechanism                   : Office of Personnel Management
Implementation timeline                 : Immediate
Long-term Impact                        : Potential reduction in bureaucracy and increased focus on taxpayer interests
Stakeholder Reactions                   : Likely mixed, with support from those favoring smaller government and opposition from those valuing the institute's training
Historical Context                      : Established during Lyndon B. Johnson's administration over 50 years ago.
Implementation Challenges               : {Resistance from career civil servants, Ensuring a smooth transition for existing programs}
Public Perception                       : Likely divided along partisan lines
Legal Precedents                        : Previous executive orders establishing and revoking government programs
Executive Order Comparisons             : 
Executive Order Duration                : Permanent
Scope of Applicability                  : Federal Executive Institute
Interaction with Other Laws/Regulations : Revokes relevant Presidential memoranda and portions of Executive Order 11348.
Delegated Powers                        : Director of the Office of Personnel Management
Revocation/Modification Process         : Presidential executive order
Political Context                       : Part of a broader push to reduce government size and spending.
Priority Areas Addressed                : Government efficiency, fiscal responsibility
Compliance Requirements                 : N/A
Court Involvement                       : Possible legal challenges from affected parties
Impact on International Relations       : 
Enabling Legislation                    : 
Review and Oversight Mechanism          : Presidential review
Temporary vs. Permanent Measures        : Permanent
Environmental Considerations            : 
Civil Liberties Considerations          : 
Public Health Impact                    : 
Data and Reporting Requirements         : 
Security Implications                   : 
Partisan Support/Opposition             : Likely divided along partisan lines
Executive Action Precedent              : Previous executive orders eliminating government programs
Economic Sector Impact                  : 
Labor/Workforce Impact                  : Potential job losses for Federal Executive Institute staff
Technological Impact                    : 
Social Justice Considerations           : 
Transparency                            : Publicly available through the Federal Register
Public Engagement or Consultation       : 

