
Order number                            : 14204
Date signed                             : February 7, 2025
Signed by                               : The President
Detailed Summary                        : This Executive Order addresses the Republic of South Africa's recent Expropriation Act 13 of 2024, which allows for the seizure of ethnic minority Afrikaners' agricultural property without compensation. The order condemns South Africa's actions as unjust and immoral and outlines measures to halt U.S. aid to South Africa while promoting resettlement assistance for affected Afrikaners.
Agency Impacted                         : Multiple executive departments and agencies, including USAID
Within Executive Powers                 : True
Exceeds Executive Powers                : 
Legal                                   : 
Pros                                    : 
Cons                                    : 
Keywords                                : {South Africa, Expropriation Act 13 of 2024, Afrikaners, Refugee Resettlement…}
Authority granted to                    : Executive departments and agencies to halt foreign aid to South Africa
Impacted entities                       : Republic of South Africa, Afrikaner community
Budgetary impact                        : Halt of foreign aid to South Africa
Enforcement Mechanism                   : Executive Order authority and discretion of agency heads
Implementation timeline                 : Immediate
Long-term Impact                        : Potential shift in U.S.-South Africa relations, increased Afrikaner migration
Stakeholder Reactions                   : 
Historical Context                      : 
Implementation Challenges               : 
Public Perception                       : 
Legal Precedents                        : 
Executive Order Comparisons             : 
Executive Order Duration                : 
Scope of Applicability                  : Republic of South Africa
Interaction with Other Laws/Regulations : 
Delegated Powers                        : 
Revocation/Modification Process         : 
Political Context                       : Tensions between the U.S. and South Africa over human rights and foreign policy issues
Priority Areas Addressed                : Human rights, foreign policy, refugee resettlement
Compliance Requirements                 : 
Court Involvement                       : 
Impact on International Relations       : Potential strain on relations with South Africa and African partners
Enabling Legislation                    : 
Review and Oversight Mechanism          : 
Temporary vs. Permanent Measures        : 
Environmental Considerations            : 
Civil Liberties Considerations          : Focus on protecting the rights of Afrikaners
Public Health Impact                    : 
Data and Reporting Requirements         : 
Security Implications                   : 
Partisan Support/Opposition             : 
Executive Action Precedent              : 
Economic Sector Impact                  : 
Labor/Workforce Impact                  : 
Technological Impact                    : 
Social Justice Considerations           : Addressing racial discrimination against Afrikaners
Transparency                            : 
Public Engagement or Consultation       : 

